model	language	perturbation	dev_acc	test_acc
mBERT	Afrikaans	mBERT-lc-1	91.51025014105699	90.43823909370963
mBERT	Afrikaans	mBERT-lc-2	90.00188075982699	88.85620590281228
mBERT	Afrikaans	mBERT-subw	97.4271205567049	97.13405545066084
mBERT	Ancient_Greek	mBERT-lc-1	77.15563587079285	75.84426737916885
mBERT	Ancient_Greek	mBERT-lc-2	76.8402981703185	75.26885824705377
mBERT	Ancient_Greek	mBERT-subw	77.80618929297493	75.31179922706235
mBERT	Arabic	mBERT-lc-1	93.59096348617962	19.019853106257415
mBERT	Arabic	mBERT-lc-2	92.14500452409445	18.808679807851583
mBERT	Arabic	mBERT-subw	95.84775692478328	35.205043419141504
mBERT	Armenian	mBERT-lc-1	91.1657355679702	88.48057882711348
mBERT	Armenian	mBERT-lc-2	52.819366852886404	87.10205635948212
mBERT	Armenian	mBERT-subw	95.10986964618249	93.22924600152324
mBERT	Basque	mBERT-lc-1	85.20688939614027	84.8740461147124
mBERT	Basque	mBERT-lc-2	82.10168084664869	82.08664970870599
mBERT	Basque	mBERT-subw	91.45216849968872	91.5114466234512
mBERT	Belarusian	mBERT-lc-1	94.66591521072075	95.00749437921559
mBERT	Belarusian	mBERT-lc-2	93.44229444548813	93.41119160629528
mBERT	Belarusian	mBERT-subw	96.08366209530966	96.10542093429926
mBERT	Bulgarian	mBERT-lc-1	96.03331468705328	95.62452302213177
mBERT	Bulgarian	mBERT-lc-2	94.60873888992481	94.21648435512591
mBERT	Bulgarian	mBERT-subw	98.54434706942631	98.46858305774612
mBERT	Catalan	mBERT-lc-1	96.78763329751177	96.6377664908932
mBERT	Catalan	mBERT-lc-2	94.75506323881955	94.66306492834266
mBERT	Catalan	mBERT-subw	98.90915102918078	98.74834201416971
mBERT	Chinese	mBERT-lc-1	92.39832583116166	92.94205794205796
mBERT	Chinese	mBERT-lc-2	92.28144989339019	92.75724275724276
mBERT	Chinese	mBERT-subw	94.70583589986575	95.05328005328008
mBERT	Classical_Chinese	mBERT-lc-1	87.02474484176518	85.5764229991332
mBERT	Classical_Chinese	mBERT-lc-2	86.86540862030986	85.72171544144962
mBERT	Classical_Chinese	mBERT-subw	84.81900286364638	84.61138399306559
mBERT	Coptic	mBERT-lc-1	32.11749788672865	30.9657783386534
mBERT	Coptic	mBERT-lc-2	30.92702169625246	30.171479474426548
mBERT	Coptic	mBERT-subw	32.183713722175256	30.906391507683168
mBERT	Croatian	mBERT-lc-1	95.22429571146601	95.53668590272052
mBERT	Croatian	mBERT-lc-2	93.41647227705005	93.38417147568012
