model	language	task	perturbation	probing_location	dev_acc	test_acc
mBERT	Afrikaans	number_noun	mBERT-r2l	first	82.5	75.0
mBERT	Afrikaans	number_noun	mBERT-r2l	last	93.5	96.0
mBERT	Albanian	case_noun	mBERT-r2l	first	67.0	65.0
mBERT	Albanian	case_noun	mBERT-r2l	last	62.5	60.5
mBERT	Albanian	case_propn	mBERT-r2l	first	79.60199004975125	80.5
mBERT	Albanian	case_propn	mBERT-r2l	last	85.57213930348259	79.5
mBERT	Albanian	definite_noun	mBERT-r2l	first	87.5	86.5
mBERT	Albanian	definite_noun	mBERT-r2l	last	87.0	89.0
mBERT	Albanian	gender_noun	mBERT-r2l	first	77.0	74.0
mBERT	Albanian	gender_noun	mBERT-r2l	last	88.0	87.0
mBERT	Albanian	gender_propn	mBERT-r2l	first	86.5	65.5
mBERT	Albanian	gender_propn	mBERT-r2l	last	88.5	81.0
mBERT	Albanian	number_noun	mBERT-r2l	first	85.5	90.0
mBERT	Albanian	number_noun	mBERT-r2l	last	91.5	89.5
mBERT	Albanian	number_verb	mBERT-r2l	first	74.0	71.0
mBERT	Albanian	number_verb	mBERT-r2l	last	90.5	91.0
mBERT	Arabic	aspect_verb	mBERT-r2l	first	94.5	94.5
mBERT	Arabic	aspect_verb	mBERT-r2l	last	83.0	85.5
mBERT	Arabic	case_adj	mBERT-r2l	first	67.16417910447761	56.71641791044776
mBERT	Arabic	case_adj	mBERT-r2l	last	64.17910447761194	58.70646766169154
mBERT	Arabic	case_noun	mBERT-r2l	first	69.15422885572139	62.189054726368155
mBERT	Arabic	case_noun	mBERT-r2l	last	63.18407960199005	57.711442786069654
mBERT	Arabic	definite_noun	mBERT-r2l	first	81.59203980099502	77.61194029850746
mBERT	Arabic	definite_noun	mBERT-r2l	last	82.08955223880598	81.59203980099502
mBERT	Arabic	gender_adj	mBERT-r2l	first	97.5	97.5
mBERT	Arabic	gender_adj	mBERT-r2l	last	99.5	97.5
mBERT	Arabic	gender_verb	mBERT-r2l	first	94.0	87.0
mBERT	Arabic	gender_verb	mBERT-r2l	last	91.5	89.5
mBERT	Armenian	animacy_noun	mBERT-r2l	first	82.5	69.5
